SolutionName,Pipeline,UnrollFactor,Flatten,PartitionType,EstimatedClock_ns,TargetClock_ns,Interval_min_cycles,Interval_max_cycles,BestLatency_cycles,WorstLatency_cycles,AvgLatency_cycles,BRAM_18K_Used,BRAM_18K_Available,DSP48E_Used,DSP48E_Available,FF_Used,FF_Available,LUT_Used,LUT_Available,URAM_Used,URAM_Available
sol_pipe_off_unroll_16_flat_off_part_complete,off,16,off,complete,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_off_part_cyclic,off,16,off,cyclic,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_on_part_complete,off,16,on,complete,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_on_part_cyclic,off,16,on,cyclic,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_1_flat_off_part_complete,off,1,off,complete,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_off_part_cyclic,off,1,off,cyclic,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_on_part_complete,off,1,on,complete,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_on_part_cyclic,off,1,on,cyclic,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_24_flat_off_part_complete,off,24,off,complete,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_off_part_cyclic,off,24,off,cyclic,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_on_part_complete,off,24,on,complete,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_on_part_cyclic,off,24,on,cyclic,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_2_flat_off_part_complete,off,2,off,complete,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_off_part_cyclic,off,2,off,cyclic,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_on_part_complete,off,2,on,complete,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_on_part_cyclic,off,2,on,cyclic,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_32_flat_off_part_complete,off,32,off,complete,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_off_part_cyclic,off,32,off,cyclic,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_on_part_complete,off,32,on,complete,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_on_part_cyclic,off,32,on,cyclic,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_4_flat_off_part_complete,off,4,off,complete,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_4_flat_off_part_cyclic,off,4,off,cyclic,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_4_flat_on_part_complete,off,4,on,complete,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
